,1,2,3,4,5,6,7,8,9,10,11,12
Isoflavonoid O-glycosides,-0.111726363,0.675036529,2.312541782,0.334899437,-0.82933066,0.440062742,0.705755946,-0.11601284,-0.350030887,-0.483531258,-1.275798918,-1.301865511
Epigallocatechins,-0.816111077,1.868931779,-0.438282133,-0.274065221,-0.093956705,0.914919577,-0.408928027,1.589085413,-0.326295208,-0.086353703,-0.236051409,-1.692893285
Coumaric acids and derivatives.1,0.282572015,-0.148243721,-3.019926332,0.192347381,0.316563816,0.085311567,0.607132971,0.155519321,0.744011455,0.463547055,0.619349415,-0.298184943
Pyridines and derivatives,1.434889696,0.051854681,-2.45503111,-0.793156412,1.049480441,0.181627109,-0.056129924,-0.741622658,0.338480599,0.627688743,0.282252484,0.079666351
Glycosyldiacylglycerols.1,-1.035946003,-0.202954236,2.380587921,-0.271559772,1.317830699,-0.277817392,-0.293874683,-1.135827699,0.272463572,-0.56520156,0.427230061,-0.614930909
Glycosyldiacylglycerols.2,-1.233669489,0.796978193,-1.17691583,-0.119345538,0.127140332,0.259743089,1.792220209,-0.987454045,1.219689588,-1.214706458,0.44952591,0.08679404
C20-gibberellin 6-carboxylic acids,-1.329192269,0.285141108,1.361084827,0.342543993,0.849655781,-0.450406609,-0.26507612,-0.406310344,0.896050954,-0.629502948,1.191045338,-1.845033711
Phosphoglycosphingolipids,-0.825287045,2.116311128,-0.487824209,-0.340416711,-1.106738864,-0.264261893,0.045675865,-0.304751952,0.453731889,-1.123324038,1.604665513,0.232220317
Biotin and derivatives,0.140934492,0.374182982,-1.146341954,0.820318423,-1.766562264,0.942738263,-0.634723756,-0.710510986,1.220702589,1.247509628,0.376487583,-0.864734999
Fatty amides,1.012687101,-0.208365659,1.864432649,-0.761053133,0.694412491,-0.676046949,0.106999782,-1.088334371,-1.500365685,0.376941506,0.905257043,-0.726564775
Alpha amino acids and derivatives.1,1.531445383,0.484794334,-1.321277477,0.586699479,1.320787182,0.709279082,-0.193480433,-1.23083003,-0.380267556,-1.544132947,0.011695908,0.025287075
Alpha amino acids,1.0669254,-0.352362074,-0.446218338,-1.18642573,0.265812845,0.096516467,0.816392816,-1.330592362,2.110727452,-1.001965722,0.258074674,-0.296885429
Ceramides.9,-1.566172599,0.642209274,-0.068632839,0.200047601,-0.741675774,-0.837198494,0.326688125,-0.655672793,1.694606,-0.033534754,1.721625055,-0.682288802
Long-chain ceramides.4,-1.373092772,0.76914411,-0.228025418,0.086764014,-0.469720038,-0.853931557,0.474710313,-0.903601096,1.578234132,-0.081496201,1.818336821,-0.817322307
Ceramides.10,-0.750533379,-0.211897465,1.532257098,-0.919991272,-0.1110377,-0.22375583,0.889816276,-1.658747106,1.738485909,-0.692947208,0.148911774,0.259438903
Glycosyldiacylglycerols.3,-1.066379563,0.245304824,-0.743235543,-0.118528586,0.414479187,0.215762497,2.234905971,-1.326946315,0.741595935,-1.202452765,0.506592103,0.098902255
Glycosyldiacylglycerols.4,-1.06476558,1.336947622,0.727160492,0.022475288,0.483397706,-0.22632847,0.508553712,-1.420436813,0.642066982,-1.707293724,1.191000001,-0.492777216
Ceramides.11,0.099484528,0.185950192,-1.321110422,0.751552155,1.578110823,0.81629267,-0.520646029,-0.936312952,0.537304144,-1.153454762,1.147818657,-1.184989005
Methoxyphenols.1,-1.194644249,1.15359357,-1.470639246,0.900110459,1.164925844,1.018671633,-0.596245739,-0.03066268,0.616932885,-1.436151787,0.119828682,-0.245719371
Fatty acyl glycosides of mono- and disaccharides.1,-0.40882912,0.714643709,-1.502292188,-1.067406794,0.435426978,0.562621413,0.324342083,-1.812611328,1.389690775,0.043488947,0.994717945,0.326207582
Monomethylphosphatidylethanolamines.1,-0.057480092,1.291885959,-0.681612374,-0.142650198,0.603490871,-0.800600157,1.266809342,-1.861918031,0.792848224,-0.574071446,1.028901891,-0.865603987
Lysophosphatidylglycerols.1,0.446431666,0.660933044,-1.639944014,-0.281883774,1.675961892,-0.454947374,-0.519123783,-0.740761601,0.14485686,-1.113366547,0.262530294,1.559313338
Monomethylphosphatidylethanolamines.2,-1.024936526,1.985364084,-0.80363256,-0.050643952,-0.848061149,-0.031458712,1.13045243,-1.400219145,0.904653748,0.329838003,0.381401886,-0.572758106
Pyrimidine nucleotide sugars.1,-0.256731161,0.54790639,-2.401373849,0.813044214,0.458567461,0.673850178,0.759439019,0.025836246,-0.569751705,0.309272093,0.933386403,-1.29344529
Methoxypyrazines,0.364408592,1.280722916,-1.374650359,-0.768377369,-0.312192364,0.664191564,0.403401043,-1.58495461,0.175936568,0.947493005,1.23866147,-1.034640455
Resorcinols.1,-0.878126221,-0.544609513,-1.742560846,-0.363177361,-0.386798412,-0.748029632,-0.303309849,0.394929708,0.906775186,0.87695525,1.799637023,0.988314668
Disaccharides,1.015342871,0.40470706,-0.433822164,-0.952865142,0.64961608,-0.015961935,-1.389420435,-0.840146092,-0.91656667,1.930778402,0.956887833,-0.408549807
Long-chain ceramides.5,-0.779874194,-0.364967402,2.024013109,-0.576076921,0.185372728,-0.317259586,0.495167574,-1.808910288,1.372629545,-0.492398474,0.039589117,0.222714793
Phosphosphingolipids.4,0.997526186,0.497668856,-0.188333766,0.089123552,1.591310542,0.899517549,-0.202933068,-1.599739547,0.810683718,-1.272878348,-1.110408829,-0.511536846
Stigmastanes and derivatives.5,0.00212428,-1.267767719,1.072662669,-0.7120806,-0.720242329,-0.219907666,-0.165492251,0.897474264,-0.673370083,0.534287406,-0.924989912,2.177301941
Glycosyldiacylglycerols.5,-0.575909776,0.262027786,0.841916294,-0.562266404,0.611114673,0.268618476,1.07965679,-1.465126945,1.244289307,-0.848946488,0.833667955,-1.689041669
